run_id,scenario_id,repetition,expected_result,actual_result,expectation_match,false_allow,false_denial,tool_calls_completed,retries_attempted,session_behavior,request_count,stopped_at
managed_400215047db38a8c,S07,3,deny,deny,True,False,False,11,0,single_session,12,write-4
managed_c265085947de8c24,S07,4,deny,deny,True,False,False,11,0,single_session,12,write-4
managed_c4f7f59e1a8219e2,S07,5,deny,deny,True,False,False,11,0,single_session,12,write-4
managed_9024a5ce1db29a4b,S07,6,deny,deny,True,False,False,11,0,single_session,12,write-4
managed_5ee926591cf1496a,S07,7,deny,deny,True,False,False,11,0,single_session,12,write-4
managed_f038024fab2e079f,S07,8,deny,deny,True,False,False,11,0,single_session,12,write-4
managed_e440180dfaa20991,S07,9,deny,deny,True,False,False,11,0,single_session,12,write-4
managed_2de9288c7ffdd7fb,S07,10,deny,deny,True,False,False,11,0,single_session,12,write-4
managed_5aec8f08a461c808,S08,1,mixed,tool_error,False,True,False,2,3,single_session,6,retry-3
managed_4acc04834916f405,S08,2,mixed,tool_error,False,True,False,2,3,single_session,6,retry-3
managed_bf5ad36c394accd0,S08,3,mixed,tool_error,False,True,False,2,3,single_session,6,retry-3
managed_4c02379209bf3bca,S08,4,mixed,tool_error,False,True,False,2,3,single_session,6,retry-3
managed_e6554a7b3ecc4acd,S08,5,mixed,tool_error,False,True,False,2,3,single_session,6,retry-3
managed_b6bf524f0b1569d8,S08,6,mixed,tool_error,False,True,False,2,3,single_session,6,retry-3
managed_587a4ed53b873ea7,S08,7,mixed,tool_error,False,True,False,2,3,single_session,6,retry-3
managed_9fa2b81d5ae718c8,S08,8,mixed,tool_error,False,True,False,2,3,single_session,6,retry-3
managed_6c1d539461aa08f1,S08,9,mixed,tool_error,False,True,False,2,3,single_session,6,retry-3
managed_9cece3c491ae9d43,S08,10,mixed,tool_error,False,True,False,2,3,single_session,6,retry-3
managed_eff3a739394050bc,S09,1,mixed,mixed,True,False,False,12,0,rotated,13,
managed_f2a031f9e48f2180,S09,2,mixed,mixed,True,False,False,12,0,rotated,13,
managed_89b06f04bf356ebd,S09,3,mixed,mixed,True,False,False,12,0,rotated,13,
managed_f82e19bbe1145c87,S09,4,mixed,mixed,True,False,False,12,0,rotated,13,
managed_0e64d2501bf05e1b,S09,5,mixed,mixed,True,False,False,12,0,rotated,13,
managed_8aedc4545540fc61,S09,6,mixed,mixed,True,False,False,12,0,rotated,13,
managed_4c8ac8bc48d6de2c,S09,7,mixed,mixed,True,False,False,12,0,rotated,13,
managed_1076ca73a3a6e501,S09,8,mixed,mixed,True,False,False,12,0,rotated,13,
managed_a74478dab4e00d6e,S09,9,mixed,mixed,True,False,False,12,0,rotated,13,
managed_e0db5567805ef928,S09,10,mixed,mixed,True,False,False,12,0,rotated,13,
managed_1fa8cdee28b9f934,S10,1,mixed,mixed,True,False,False,5,0,multiple_callers,6,
managed_c5f67fbf752e59bb,S10,2,mixed,mixed,True,False,False,5,0,multiple_callers,6,
managed_8e8e02dba72d9d95,S10,3,mixed,mixed,True,False,False,5,0,multiple_callers,6,
managed_07a6365a0af25098,S10,4,mixed,mixed,True,False,False,5,0,multiple_callers,6,
managed_8b12df6d2528edc5,S10,5,mixed,mixed,True,False,False,5,0,multiple_callers,6,
managed_1608b51278d23817,S10,6,mixed,mixed,True,False,False,5,0,multiple_callers,6,
managed_65f1a87dcbe8320d,S10,7,mixed,mixed,True,False,False,5,0,multiple_callers,6,
managed_a81f24ede07c4ea5,S10,8,mixed,mixed,True,False,False,5,0,multiple_callers,6,
managed_8b798299431f54bb,S10,9,mixed,mixed,True,False,False,5,0,multiple_callers,6,
managed_dfd1b025f8cdb4d3,S10,10,mixed,mixed,True,False,False,5,0,multiple_callers,6,
managed_7d2ae2cc324c654e,S11,1,validation_error,validation_error,True,False,False,0,0,single_session,2,malformed-session
managed_c6409e7f3aea18c4,S11,2,validation_error,validation_error,True,False,False,0,0,single_session,2,malformed-session
managed_9fdc6b63cf1bc735,S11,3,validation_error,validation_error,True,False,False,0,0,single_session,2,malformed-session
managed_cbb4354aa2fcfd03,S11,4,validation_error,validation_error,True,False,False,0,0,single_session,2,malformed-session
managed_a2a29623d68252d0,S11,5,validation_error,validation_error,True,False,False,0,0,single_session,2,malformed-session
managed_53c9fac978709259,S11,6,validation_error,validation_error,True,False,False,0,0,single_session,2,malformed-session
managed_798bbec3df3a8cda,S11,7,validation_error,validation_error,True,False,False,0,0,single_session,2,malformed-session
managed_1fdb5e909af28fb0,S11,8,validation_error,validation_error,True,False,False,0,0,single_session,2,malformed-session
managed_f57567505ae1df6f,S11,9,validation_error,validation_error,True,False,False,0,0,single_session,2,malformed-session
managed_a3eba7f951d4c083,S11,10,validation_error,validation_error,True,False,False,0,0,single_session,2,malformed-session
