source_batch,run_id,scenario_id,repetition,added_authorization_latency_ms,added_authorization_latency_reason,policy_responsible,policy_responsible_reason,configured_policy_hint
2ee75ff6e4ec,managed_7fcaca5c76e22e40,S01,1,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_9c708f2af270177a,S06,8,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_6ce5c2af526f940b,S06,9,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_1868bd942dd34097,S06,10,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_6a0f0f101db4bbae,S07,1,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_e81317754dedfe1e,S07,2,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_400215047db38a8c,S07,3,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_c265085947de8c24,S07,4,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_c4f7f59e1a8219e2,S07,5,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_9024a5ce1db29a4b,S07,6,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_5ee926591cf1496a,S07,7,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_f038024fab2e079f,S07,8,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_e440180dfaa20991,S07,9,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_2de9288c7ffdd7fb,S07,10,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
8d21c017f03f,managed_f4af296b59d8b28d,S08,1,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
8d21c017f03f,managed_0068968a2b1d5014,S08,2,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
8d21c017f03f,managed_bdf07f42e3dcd409,S08,3,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
8d21c017f03f,managed_62bea6170fedb9a5,S08,4,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
8d21c017f03f,managed_329e5927e7222d5d,S08,5,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
8d21c017f03f,managed_8f9dd4876abc8ae6,S08,6,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
8d21c017f03f,managed_277bcfd7475af84b,S08,7,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
8d21c017f03f,managed_7e593b5a61d26114,S08,8,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
8d21c017f03f,managed_957eecc4ecbe0f6d,S08,9,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
8d21c017f03f,managed_8873fb5b8a4f5622,S08,10,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_eff3a739394050bc,S09,1,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_f2a031f9e48f2180,S09,2,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_89b06f04bf356ebd,S09,3,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_f82e19bbe1145c87,S09,4,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_0e64d2501bf05e1b,S09,5,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_8aedc4545540fc61,S09,6,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_4c8ac8bc48d6de2c,S09,7,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_1076ca73a3a6e501,S09,8,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_a74478dab4e00d6e,S09,9,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_e0db5567805ef928,S09,10,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_1fa8cdee28b9f934,S10,1,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_c5f67fbf752e59bb,S10,2,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_8e8e02dba72d9d95,S10,3,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_07a6365a0af25098,S10,4,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_8b12df6d2528edc5,S10,5,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_1608b51278d23817,S10,6,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_65f1a87dcbe8320d,S10,7,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_a81f24ede07c4ea5,S10,8,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_8b798299431f54bb,S10,9,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_dfd1b025f8cdb4d3,S10,10,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_7d2ae2cc324c654e,S11,1,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_c6409e7f3aea18c4,S11,2,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_9fdc6b63cf1bc735,S11,3,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_cbb4354aa2fcfd03,S11,4,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_a2a29623d68252d0,S11,5,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_53c9fac978709259,S11,6,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_798bbec3df3a8cda,S11,7,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_1fdb5e909af28fb0,S11,8,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_f57567505ae1df6f,S11,9,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
2ee75ff6e4ec,managed_a3eba7f951d4c083,S11,10,,per-request determining-policy spans were not configured,,no determining-policy span was available,ToolPermissions and/or TemporalWrite; non-authoritative
